"time","speaker","line"
"07min59sec","Wallace","But are not worried about us spreading disease?"
"08min01sec","Trump","… I’m doing my job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-"
"08min06sec","Wallace","Are you not worried about the disease issues, sir?"
"08min08sec","Trump","Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace."
"08min26sec","Biden","By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there [crosstalk 00:08:48]."
"08min48sec","Trump","We’ve had no negative effect."
"08min49sec","Biden","No negative effect. Come on."
"08min51sec","Trump","We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies."
"08min55sec","Wallace","All right. Do you want to just quickly finish up? Because I want to move on to our next-"
"08min57sec","Biden","Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this."
"09min12sec","Wallace","Gentlemen, can we move on to the-"
"09min13sec","Trump","No cares."
"09min13sec","Wallace","Gentlemen, can we move on to the economy?"
"09min15sec","Trump","Chris Wallace: (09:15)"
"09min15sec","Wallace","The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-"
"09min22sec","Trump","Much faster."
"09min22sec","Wallace","… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first."
"09min52sec","Trump","So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country."
"10min31sec","Trump","A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up."
"11min04sec","Trump","When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”"
"11min36sec","Wallace","All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?"
"11min48sec","Biden","The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes."
"12min17sec","Trump","That’s wrong."
"12min18sec","Wallace","Sir, wait. No. Sir-"
"12min18sec","Trump","[crosstalk 00:12:19]."
"12min20sec","Wallace","Yeah, I understand. You’ve agreed to the two minutes, so please let him have it."
"12min23sec","Biden","Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history."
"12min40sec","Biden","Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety."
"13min25sec","Biden","Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely."
"13min54sec","Wallace","All right. Your time is up, sir. We are going to get to-"
"13min56sec","Trump","I have to respond to that."
"13min57sec","Wallace","Well, you both had two minutes, sir."
"13min59sec","Trump","Excuse me, he made a statement."
"14min01sec","Wallace","And so did you."
"14min03sec","Trump","No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives."
"14min19sec","Biden","People want to be safe."
"14min20sec","Trump","They’ll be careful, but they want their schools open."
"14min22sec","Biden","I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-"
"14min30sec","Wallace","All right. Let’s-"
"14min31sec","Trump","… and people of Ohio are very proud of me. And you know how I found out? When [crosstalk 00:14:35]."
"14min36sec","Wallace","Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?"
"15min08sec","Trump","I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-"
"15min16sec","Biden","Show us your tax returns."
"15min17sec","Trump","I paid $38 million one year, I paid $27 million one year."
"15min24sec","Biden","President Donald J. Trump: (15:24)"
"15min24sec","Trump","You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company."
"15min42sec","Wallace","Sir, I’m asking you a specific question, which is-"
"15min43sec","Trump","But let me tell you-"
"15min43sec","Wallace","I understand all of that."
"15min44sec","Biden","Release your tax return."
"15min45sec","Wallace","I understand all of that-"
"15min45sec","Trump","Let me-"
"15min47sec","Wallace","No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?"
"15min56sec","Trump","Millions of dollars."
"15min58sec","Wallace","You paid millions of dollars in-"
"15min59sec","Wallace","So not 750?"
"16min00sec","Trump","Millions of dollars. And you’ll get to see it. And you’ll get to see it."
"16min03sec","Biden","When? Inshallah?"
"16min04sec","Trump","But let me just tell you-"
"16min05sec","Biden","In [crosstalk 00:16:04]?"
"16min05sec","Trump","Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that’s-"
"16min40sec","Wallace","Vice President Biden, you want to respond?"
"16min42sec","Biden","Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him… He says he’s smart because he can take advantage of the tax code. And he does take advantage of the tax code. That’s why I’m going to eliminate the Trump tax cuts. And I’m going to eliminate those tax cuts."
"17min06sec","Trump","That’s okay."
"17min07sec","Biden","And make sure that we invest in the people who in fact need the help. People out there need help."
"17min13sec","Trump","But why didn’t you do it over the last 25 years?"
"17min16sec","Biden","Because you weren’t president-"
"17min18sec","Trump","Why didn’t you do it over the last 25 years?"
"17min19sec","Biden","Because you weren’t president and screwing things up."
"17min20sec","Trump","You were a Senator and [crosstalk 00:17:21]-"
"17min21sec","Biden","You’re the worst president America has ever had. Come on."
"17min24sec","Trump","Hey, Joe, let me just tell you, Joe. In 47 months, I’ve done more than you’ve done in 47 years, Joe. We’ve done things that you never even thought of doing."
"17min33sec","Wallace","Okay. Gentlemen?"
"17min33sec","Trump","Including fixing the broken military that you gave me, including taking care of your debts."
"17min38sec","Wallace","Mr. President, we’re talking about the economy. I’d like to ask you about your plans going forward because Mr. Vice President, your economic plan-"
"17min46sec","Trump","He has none."
"17min47sec","Wallace","… if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year."
"18min03sec","Wallace","… on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it’s just coming out of a recession."
"18min13sec","Biden","Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we’re going to make sure that every penny of that has to be made by a company-"
"18min50sec","Wallace","But respectfully, sir, I’m talking about taxes, not spending."
"18min53sec","Biden","By the way, I’m going to eliminate a significant number of the taxes. I’m going to make the corporate tax 28%. It shouldn’t be 21%. You have 91 companies federal, I mean, the fortune 500, who don’t pay a single penny in tax making billions of dollars."
"19min09sec","Trump","Why didn’t you do it before, when you were vice president with Obama?"
"19min12sec","Biden","Because you in fact passed that, that was your tax proposal."
"19min16sec","Trump","I got it done. And you know what happened?"
"19min17sec","Biden","Yeah, you got it done-"
"19min18sec","Trump","Our economy boomed like it’s never boomed before."
"19min20sec","Biden","The economy-"
"19min20sec","Wallace","Mr. President-"
"19min22sec","Biden","Let me finish."
"19min23sec","Wallace","Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?"
"19min31sec","Biden","Not lower tax for the American people."
"19min34sec","Wallace","But let me-"
"19min34sec","Trump","Excuse me."
"19min47sec","Trump","They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I’ll tell you what, you’ll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they’ll leave for other places. [crosstalk 00:20:25] They will leave and you will have a depression, the likes of which you’ve never seen."
"20min29sec","Biden","Look-"
"20min29sec","Wallace","Mr. Vice President."
"20min44sec","Trump","It wasn’t blooming."
"20min45sec","Biden","He blew it."
"20min46sec","Trump","He was in booming. It was the weakest recovery since 1929."
"20min50sec","Wallace","Wait, wait, is it fair to say he blew it when, in fact-"
"20min53sec","Trump","When COVID came along."
"20min54sec","Wallace","… when there was record low unemployment before COVID."
"21min04sec","Trump","Excuse me, Chris, wait."
"21min05sec","Biden","… number one. Number two-"
"21min06sec","Trump","Chris."
"21min06sec","Biden","Number three."
"21min07sec","Trump","They said it would take… No, you’re on number two."
"21min09sec","Biden","No."
"21min10sec","Trump","Chris, Chris. They said it would take-"
"21min12sec","Biden","This guy-"
"21min12sec","Trump","… a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing."
"21min20sec","Biden","We did not. [crosstalk 00:21:21]"
"21min21sec","Trump","… standard fare."
"21min22sec","Biden","I’m the guy that brought back the automobile industry."
"21min25sec","Trump","He totally gave up on manufacturing."
"21min25sec","Wallace","All right, let him-"
"21min25sec","Biden","I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They’re gone. He blew it. And in fact, they’re gone-"
"21min34sec","Trump","Ohio had the best year it’s ever had last year. Michigan had the best year they’ve ever had."
"21min40sec","Biden","That is not true."
"21min41sec","Trump","Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you. [crosstalk 00:21:47]."
"21min47sec","Wallace","Mr. Vice President, go ahead."
"21min48sec","Biden","And so you take a look at what he’s actually done. He’s done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China’s perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-"
"22min06sec","Trump","China ate your lunch- [crosstalk 00:00:22:07]."
"22min08sec","Biden","… with Mexico."
"22min09sec","Trump","China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?"
"22min28sec","Biden","President Donald J. Trump: (22:28)"
"22min28sec","Trump","What did he do to deserve it? What did he do with-"
"22min31sec","Biden","None of that is true."
"22min31sec","Trump","… to deserve $183,000?"
"22min31sec","Wallace","Sir, you’ve asked him a question, let him answer it."
"22min37sec","Biden","President Donald J. Trump: (22:38)"
"22min38sec","Trump","Oh really, he didn’t get three and a half million?"
"22min39sec","Wallace","Vice President Joe Biden: (22:40)"
"22min40sec","Biden","Is totally-"
"22min41sec","Wallace","Mr. President, please. You’ve asked a question- [crosstalk 00:22:41]"
"22min41sec","Biden","Totally discredited. Totally discredited. And by the way-"
"22min45sec","Trump","Well wait, he didn’t get three and a half million dollars, Joe?"
"22min48sec","Biden","Mr. Vice-"
"22min48sec","Trump","He got three and a half million-"
"22min49sec","Wallace","President Donald J. Trump: (22:49)"
"22min49sec","Trump","… dollars."
"22min50sec","Biden","President Donald J. Trump: (22:51)"
"22min51sec","Trump","Oh, really?"
"22min51sec","Wallace","Mr. President, it’s an open discussion. Please- [crosstalk 00:22:56]"
"22min56sec","Trump","It’s a fact."
"22min57sec","Biden","It is not a fact."
"22min57sec","Wallace","Well, you have raised an issue, let the Vice President answer."
"23min00sec","Biden","It’s been totally discredited."
"23min01sec","Trump","Did Burisma pay him 183,000 a month, with no experience in energy?"
"23min06sec","Wallace","Vice President Joe Biden: (23:07)"
"23min07sec","Biden","My son did nothing wrong at Barisma-"
"23min10sec","Trump","I think he did."
"23min10sec","Wallace","Mr. President, let him answer. [crosstalk 00:23:13]."
"23min11sec","Biden","He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-"
"23min20sec","Trump","By who?"
"23min20sec","Biden","And you can-"
"23min23sec","Trump","By the media, because they refuse to talk about it-"
"23min23sec","Biden","By the World Bank-"
"23min24sec","Trump","… because they’re embarrassed."
"23min27sec","Biden","By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-"
"23min30sec","Wallace","Mr. President, please stop."
"23min31sec","Biden","Even the people who testified under oath-"
"23min33sec","Trump","So let me ask you this, Joe- [crosstalk 00:23:35]."
"23min36sec","Wallace","Go ahead, I’m listening to you."
"23min37sec","Biden","Even the people under-"
"23min38sec","Trump","He got three and a half million dollars from Moscow."
"23min40sec","Biden","… testified under oath in his administration said I did my job and I did it very well."
"23min47sec","Trump","Vice President Joe Biden: (23:47)"
"23min47sec","Biden","I did it honorably."
"23min48sec","Biden","Well, I’ll give you the list of the people who-"
"23min50sec","Trump","I’ll fire them."
"23min50sec","Wallace","No, no. Go ahead, sir."
"23min51sec","Biden","I’m sure that you’ve already fired most of them, because they did a good job."
"23min54sec","Trump","Some people don’t do a good job."
"23min55sec","Biden","Well, here’s the- [crosstalk 00:23:57]"
"23min57sec","Wallace","Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-"
"23min59sec","Biden","Well, it’s hard to get any word in with this clown. Excuse me, this person."
"24min02sec","Trump","Hey, let me just tell you, Joe-"
"24min04sec","Trump","Three and a half million, Joe."
"24min06sec","Biden","That is simply not true."
"24min07sec","Trump","Why did he deserve three and a half million from Moscow?"
"24min09sec","Biden","Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-"
"24min19sec","Trump","My family-"
"24min20sec","Wallace","No, no- [crosstalk 00:06:20]."
"24min20sec","Trump","My family lost a fortune by coming down and helping us with governance."
"24min24sec","Biden","And that’s such a- [crosstalk 00:24:25]"
"24min25sec","Wallace","President Donald J. Trump: (24:26)"
"24min26sec","Trump","Every single one of them lost a fortune-"
"24min27sec","Biden","This is not about my family or his family. It’s about your family, the American people. [crosstalk 00:24:32] That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here. [crosstalk 00:24:42]"
"24min43sec","Wallace","That’s the end of the segment. We’re moving on."
"24min46sec","Biden","He didn’t take that."
"24min47sec","Wallace","Vice President-"
"24min47sec","Trump","Chris, can I be honest? It’s a very important question-"
"24min49sec","Biden","Try to be honest."
"24min50sec","Wallace","President Donald J. Trump: (24:50)"
"24min50sec","Trump","He stood up-"
"24min52sec","Wallace","The answer to the question is no."
"24min53sec","Trump","… and the threatened Ukraine-"
"24min55sec","Wallace","Sir-"
"24min55sec","Trump","… with a billion dollars-"
"24min57sec","Biden","That is absolutely not true."
"25min01sec","Wallace","Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here’s the deal."
"25min09sec","Biden","That’s a good point."
"25min09sec","Wallace","We have six segments. We have ended that segment. We’re going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I’m going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I’m appealing to you, sir, to do that."
"25min37sec","Trump","Well, and him too."
"25min38sec","Wallace","Well, frankly, you’ve been doing more interrupting than he has."
"25min40sec","Trump","Well, that’s all right, but he does plenty."
"25min41sec","Wallace","Well, sir, less than-"
"25min43sec","Trump","He does plenty."
"25min43sec","Wallace","No, less than you have. Let’s please continue on. The issue of rice. Vice-President Biden, you say that President Trump’s response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president."
"26min05sec","Trump","Oh yeah, sure."
"26min06sec","Wallace","President Trump, you have often said that you believe you will have done more for Black Americans than any president with the possible exception of Abraham Lincoln."
"26min16sec","Trump","That’s true."
"26min16sec","Wallace","My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first."
"26min29sec","Biden","It’s about equity and equality. It’s about decency. It’s about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people… Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. [crosstalk 00:27:10]."
"27min11sec","Wallace","It is his-"
"27min12sec","Biden","Now-"
"27min12sec","Wallace","… minute sir."
"27min13sec","Biden","… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division."
"27min50sec","Biden","This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community."
"28min27sec","Trump","So-"
"28min28sec","Wallace","President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?"
"28min34sec","Trump","You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they’ve never forgotten it. They’ve never forgotten it."
"28min43sec","Biden","I’ve never said-"
"28min44sec","Wallace","No, no, sir. It’s his two minutes."
"28min45sec","Trump","So you did that and they call you a super predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990… And that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.”"
"29min39sec","Trump","I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it."
"30min35sec","Wallace","All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, “Whether justice could be equally applied in America.” Do you believe that there is a separate but unequal system of justice for Blacks in this country?"
"30min59sec","Biden","Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out."
"31min38sec","Biden","We’re going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when… And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate."
"32min04sec","Wallace","All right, Mr.-"
"32min05sec","Trump","What is peaceful protest? When they run through the middle of the town-"
"32min08sec","Wallace","President Trump-"
"32min09sec","Trump","… and burn down your stores and kill people all over the place- [crosstalk 00:32:14]."
"32min11sec","Biden","That is not peaceful protest."
"32min13sec","Trump","No it’s not, but you say it is."
"32min15sec","Wallace","President Trump, I’d like to continue with the issue of race. I promise we’re going to get to the issue of law and order in a moment."
"32min21sec","Trump","Fine."
"32min21sec","Wallace","This month, your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory. Why did you decide to do that, to end racial sensitivity training? And do you believe that there is systemic racism in this country, sir?"
"32min42sec","Trump","I ended it because it’s racist. I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane. That it a radical revolution that was taking place in our military, in our schools, all over the place. And you know it, and so does everybody else. And he would know it- [crosstalk 00:33:02]"
"33min02sec","Wallace","What is radical about racial sensitivity training?"
"33min05sec","Trump","If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And really, they were teaching people to hate our country And I’m not going to do that. I’m not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It’s a racist place. And they were teaching people to hate our country. And I’m not going to allow that to happen."
"33min38sec","Wallace","Vice President Biden."
"33min39sec","Biden","Nobody’s doing that. He’s the racist."
"33min42sec","Trump","You just don’t know."
"33min43sec","Biden","Here’s the deal. I know a lot more about this- [crosstalk 00:15:43]."
"33min45sec","Wallace","Vice President Joe Biden: (33:47)"
"33min47sec","Biden","The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It’s important people know. Many people don’t want to hurt other people’s feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It’s a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we’re all Americans. The only way we’re going to bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American."
"34min41sec","Wallace","Vice President… I mean, President Trump, sir."
"34min43sec","Trump","During the Obama-Biden administration, there was tremendous division. There was hatred. You look at Ferguson, you look at, or you go to very… Many places, look at Oakland. Look what happened in Oakland. Look what happened in Baltimore. Look what happened… Frankly, it was more violent than what I’m even seeing now."
"35min01sec","Biden","Oh my Lord."
"35min01sec","Trump","But the reason-"
"35min02sec","Biden","This is ridiculous."
"35min03sec","Trump","… is that the Democrats that run these cities-"
"35min05sec","Biden","Absolutely ridiculous."
"35min06sec","Trump","… don’t want to talk, like you, about law and order."
"35min08sec","Biden","Violent crime-"
"35min09sec","Trump","And you still haven’t mentioned. Are you in favor of law and order?"
"35min12sec","Biden","I’m in favor of law. You- [crosstalk 00:35:15]."
"35min14sec","Trump","Are you in favor of law and order? [crosstalk 00:35:17]"
"35min16sec","Wallace","You asked a question, let him finish. [crosstalk 00:35:18] Let him answer."
"35min20sec","Biden","Law and order with justice, where people get treated fairly."
"35min23sec","Trump","Okay."
"35min24sec","Biden","And the fact of the matter is, violent crime went down 17%, 15% in our administration. It’s gone up on his watch."
"35min31sec","Trump","It went down much more in ours."
"35min33sec","Wallace","All right, we’re done- [crosstalk 00:35:35] Mr. President, you’re going to be very happy because we’re now going to talk about law and order."
"35min41sec","Trump","The places we had trouble were democratic run cities-"
"35min44sec","Wallace","That’s exactly my question. There has been a dramatic increase in homicides in America this summer particularly, and you often blame that on democratic mayors and democratic governors. But in fact, there have been equivalent spikes in Republican led cities, like Tulsa and Fort Worth. So the question is, is this really a…"
"36min03sec","Wallace","It’s like Tulsa and Fort worth. So the question is, is this really a party issue?"
"36min05sec","Trump","I think as a party issue, you can bring in a couple of examples but if you look at Chicago, what’s going on in Chicago where a 53 people were shot and eight died shot, if you look at New York where it’s going up, like nobody’s ever seen anything. The numbers are going up a 100%, 150%, 200% crime, it is crazy what’s going on and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that, it’s over with. But if he ever got to run this country and they ran it the way he would want to run it, we would have by the way our suburbs would be gone. And you would see problems like you’ve never seen before."
"36min45sec","Biden","He wouldn’t know a suburb unless you took a wrong turn."
"36min47sec","Trump","Oh, I know suburbs so much that you."
"36min48sec","Wallace","Gentlemen wait a minute."
"36min50sec","Biden","I was raised in the suburbs. This is not 1950. All these dog whistles and racism don’t work anymore. Suburbs are by and large integrated. There’s many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They’re dying in the suburbs. His failure to deal with the environment, they’re being flooded, they’re being burned out because his refusal to do anything. That’s why the suburbs are in trouble."
"37min23sec","Wallace","I do want to talk about this issue of law and order though. And in the joint recommendation that came from the Biden-Bernie Sanders task force, you talked about quote re-imagining policing. First of all, what does re-imagining policing mean and do you support? If I might finish the question, what does re-imagining policing mean and do you support the Black Lives Matter call for community control of policing?"
"37min54sec","Biden","Look, what I support are the police having the opportunity to deal with the problems they face and I’m totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That’s when crime went down, it didn’t go up. It went down. And so we have to be…"
"38min35sec","Trump","That’s not what they are talking about this. That’s not what it is about. He’s talking about defunding the police."
"38min39sec","Biden","President Donald J. Trump: (38:40)"
"38min40sec","Trump","He doesn’t have any law support. He has no law enforcement."
"38min45sec","Biden","That’s not true."
